title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
dijual rumah dengan design estetik tipe 42/99 lokasi gianyar bali,350000000.0,"GIANYAR BALI GIANYAR, GIANYAR",20.0,2.0,1.0,1.0,42.0,99.0
buc rumah murah 500jutaan jln lebar di blahbatuh gianyar,575000000.0,"BLAHBATUH, GIANYAR",20.0,2.0,2.0,1.0,55.0,115.0
"rumah style bali dijual area sukawati, gianyar",1300000000.0,"SUKAWATI, GIANYAR",20.0,4.0,1.0,1.0,120.0,170.0
rumah modern style di ketewel bali indent (hrjgia26),2600000000.0,"KETEWEL, GIANYAR",10.0,2.0,2.0,1.0,160.0,180.0
di jual indent rumah minimalis design suka suka batubulan,650000000.0,"JALAN DEWI SRI BATUBULAN GIANYAR BALI BATUBULAN KANGIN, GIANYAR",10.0,3.0,2.0,1.0,60.0,80.0
rumah dijual di ubud bali komplek mewah damara village ubud (promo furnished),3400000000.0,"JALAN COCOA, KEDEWATAN UBUD UBUD, GIANYAR",8.0,2.0,2.0,2.0,104.0,100.0
rumah tipe 45 di pusat gianyar kota,495000000.0,"JALAN MULAWARMAN, ABIANBASE, GIANYAR, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
perumahan view sawah dekat pantai gianyar bali bonus ac jual,535000000.0,"INDONESIA, GIANYAR, JALAN RAYA KETEWEL KETEWEL, GIANYAR",20.0,2.0,1.0,1.0,40.0,80.0
rumah siap huni bagus terjangkau bisa kpr,585000000.0,"BATUBULAN, GIANYAR",4.0,3.0,1.0,1.0,50.0,75.0
miliki rumah cantik minimalis murah di gianyar,455000000.0,"BITERA, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
"rumah murah ,modern dan minimalis di gianyar",800000000.0,"JALAN BELAH BATU GIANYAR, GIANYAR",4.0,3.0,2.0,1.0,74.0,91.0
rumah mewah lokasi premium di sukawati - gianyar,1700000000.0,"SUKAWATI SUKAWATI, GIANYAR",10.0,3.0,3.0,1.0,150.0,150.0
rumah baru siap huni lantai 1 di area batuyang sukawati gianyar,650000000.0,"SUKAWATI, GIANYAR",4.0,3.0,2.0,1.0,65.0,100.0
