title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
"rumah 2lantai di singapadu, sukawati gianyar",650000000,"singapadu, gianyar",4,3,2,2,70,70,gianyar
paling laris rumah murah di bali dp ringan dekat pantai keramas,340000000,"keramas, kec. blahbatuh, kabupaten gianyar, bali blahbatuh, gianyar",10,2,1,1,36,65,gianyar
fantastic rumah murah siap huni di gianyar bali,650000000,"batubulan batubulan, gianyar",10,3,2,1,70,105,gianyar
rumah villa lokasi di batubulan gianyar bali dekat kota denpasar,1000000000,"sukawati, gianyar",4,3,3,2,150,100,gianyar
rumah baru jl. smki batubulan gianyar bali,675000000,"batubulan, gianyar",20,3,2,1,60,100,gianyar
rumah luas harga murah,1300000000,"gianyar, gianyar",4,3,1,1,145,150,gianyar
"rumah dijual murah di gianyar , harga 300jtan",375000000,"banjar tojan desa pering belahbatu gianyar bali blahbatuh, gianyar",20,2,1,1,45,99,gianyar
dijual cepat rumah baru siap huni model minimalis type 100/75 lokasi batubulan gianyar bali,685000000,"batubulan, gianyar",4,3,2,1,75,100,gianyar
rumah dijual di gianyar bali dekat terminal batubulan,675000000,"batubulan kangin, sukawati, gianyar, bali. gianyar, gianyar",20,3,2,1,60,100,gianyar
rumah mungil batubulan,600000000,"batubulan, gianyar",6,5,2,2,108,70,gianyar
"rumah cantik d gianyar balitaman nuansa tjampuhan,strategis,harga terjangkau",480000000,"taman nuansa tjampuhan pering, gianyar",20,2,1,2,46,100,gianyar
rumah murah gianyar harga hanya 430jt lokasi tepi jalan,430000000,"bitera bitera, gianyar",20,2,1,1,45,100,gianyar
dijual rumah di gianyar harga 400 jutaan tepi jalan raya,425000000,"jl bitera bitera, gianyar",20,2,1,1,45,100,gianyar
rumah murah 3 kamar di batubulan dekat rs ganesha,540000000,"sukawati, gianyar",10,3,1,1,60,80,gianyar
"rumah baru minimalis lokasi di biaung , kesiman denpasar timur",795000000,"sukawati, gianyar",4,3,2,1,70,85,gianyar
rumah minimalis terdiri dari 2 kamar tidur di ketewel dijual hak milik,600000000,"ketewel, gianyar, bali ketewel, gianyar",10,2,1,1,42,75,gianyar
dijual rumah minimalis dekat terminal batubulan,750000000,"ubud, gianyar",10,3,1,1,150,179,gianyar
"rumah minimalis di batubulan, sukawati",500000000,"batubulan, gianyar",4,2,1,1,45,64,gianyar
dijual rumah di batubulan,550000000,"jln raya batubulan blahbatuh, gianyar",8,2,1,1,100,114,gianyar
rumah minimalis siap huni dekat pantai,2400000000,"saba, gianyar",10,4,3,1,350,370,gianyar
dijual rumah baru free pajak kawasan batu bulan gianyar strategis deka,575000000,"batubulan, gianyar",8,3,1,2,80,57,gianyar
rumah murah di batubulan,575000000,"batubulan, gianyar",4,3,2,1,65,86,gianyar
dijual rumah inden 2 lt hanya 800 jutaan di batubulan bali,875000000,"batubulan, gianyar",4,3,2,2,115,125,gianyar
