,title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
4395,dijual rumah dikawasan tukad barito denpasar selatan,0.3684210526315789,"denpasar selatan, denpasar",0.0,0.5,0.6666666666666667,0.0,0.20775623268698062,0.25588235294117645,denpasar
4396,dijual rumah semi vill,0.6746411483253589,"jalan tukad badung 19, denpasar 80226, indonesia denpasar selatan, denpasar",0.375,0.75,1.0,0.0,0.40166204986149584,0.5,badung
4397,dijual rumah semi villa di tukad badung renon bali,0.6746411483253589,"jalan tukad badung renon denpasar selatan bali denpasar selatan, denpasar",0.375,0.75,0.6666666666666667,0.0,0.40166204986149584,0.5,badung
4398,dijual rumah baru gress minimalis di sesetan - denpasar selatan,0.33014354066985646,"jalan suwung batan kendal, denpasar 80223, indonesia denpasar selatan, denpasar",0.0,0.5,1.0,0.5,0.3739612188365651,0.2058823529411765,denpasar
4399,rumah murah di sesetan lantai 2 luas tanah 125m2,0.215311004784689,"denpasar selatan, denpasar",0.375,0.5,0.6666666666666667,0.5,0.18005540166204986,0.27941176470588236,denpasar
4400,dijual rumah siap huni modern denpasar,0.32057416267942584,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.3047091412742382,0.2058823529411765,denpasar
4401,rumah murah 2 lantai semi villa,0.12440191387559808,"jl. nagasari, perumahan nuansa penatih, denpasar denpasar timur, denpasar",0.0,0.5,0.0,0.5,0.10526315789473684,0.08823529411764705,denpasar
4402,rumah bu murah di denpasar timur dijual super cepat,0.14832535885167464,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.20775623268698062,0.19705882352941176,denpasar
4403,rumah mewah baru dalam kota denpasar,0.614354066985646,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.44321329639889195,0.4411764705882353,denpasar
4404,dijual cepat rumah minimalis dua lantai denpasar timur,0.2535885167464115,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.39058171745152354,0.33529411764705885,denpasar
4405,rumah 1 are akasia denpasar timur,0.15789473684210528,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.12465373961218837,0.2088235294117647,denpasar
4406,"rumah mewah, berkonsep walk to shop di denpasar, bali",0.7217846889952153,"sumerta, kec. denpasar tim., kota denpasar, bali 80237 denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.3185595567867036,0.28823529411764703,denpasar
4407,rumah dijual di denpasar bali lokasi strategis dp 0%,0.41626794258373206,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.3185595567867036,0.28823529411764703,denpasar
4408,dijual rumah eksklusif di denpasar bali,0.4832535885167464,"denpasar timur, denpasar",0.0,0.5,1.0,0.5,0.23822714681440443,0.22058823529411767,denpasar
4409,dijual cepat rumah di perumnas denpasar,0.14832535885167464,"perumnas, denpasar, bali denpasar timur, denpasar",0.375,0.75,0.0,0.0,0.20775623268698062,0.30294117647058827,denpasar
4410,dijual murah rumah nol jalan jayagiri denpasar bali,0.17703349282296652,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.20775623268698062,0.18235294117647058,denpasar
4411,for sale rumah minimalis kota denpasar,0.2057416267942584,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.2631578947368421,0.17647058823529413,denpasar
4412,rumah baru lokasi di kesiman dekat sanur kota denpasar timur,0.14832535885167464,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.19390581717451522,0.16176470588235295,denpasar
4413,dijual rumah mewah di denpasar bali sekar sari,0.6698564593301436,"denpasar timur, denpasar",0.0,0.5,1.0,0.5,0.4847645429362881,0.488235294117647,denpasar
4414,jual rumah 1 lantai one gate sistem di jl. gandapura den-tim,0.15789473684210528,"jalan gandapura, denpasar 80237, indonesia denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.11080332409972299,0.2058823529411765,denpasar
4415,dijual rumah baru gebyar promo rumah indent,0.13435406698564595,"jalan sekar sari, denpasar 80237, indonesia denpasar timur, denpasar",0.0,0.25,0.3333333333333333,0.0,0.12465373961218837,0.2058823529411765,denpasar
4416,dijual rumah lantai 2 dikawasan biaung denpasar timur,0.33014354066985646,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.554016620498615,0.37941176470588234,denpasar
